# verdict	class	src	read	command
INADMISSIBLE	permission-gated	adjudicated	True	launchctl bootout gui/$(id -u)/com.claude.auth-timeseries && rm ~/Library/LaunchAgents/com.claude.auth-timeseries.plist
INADMISSIBLE	self-runnable	agreed	True	git -C ~/Development/.worktrees/wt-pool-2 merge --ff-only origin/main
ADMISSIBLE	decision	agreed	True	bash /tmp/reso-operator-apex-and-vitals.sh
ADMISSIBLE	gui	agreed	False	open http://localhost:3333
ADMISSIBLE	tty	agreed	True	cc-do ee88798f94cd
ADMISSIBLE	gui	agreed	False	open https://claude.ai/code/session_01M676dQtsFjboT9vTPFL3Mt
INADMISSIBLE	self-runnable	agreed	True	git -C /Users/chrisren/Development/claude-infrastructure reset --keep origin/main && bash /Users/chrisren/Development/claude-infrastructure/scripts/deploy-live.sh
ADMISSIBLE	physical	agreed	True	bash /tmp/voiceink-notch-probe2.sh
ADMISSIBLE	decision	agreed	False	pnpm invite:admin --subdomain insomniacdenver --email ren.chris@outlook.com --execute
ADMISSIBLE	decision	agreed	True	bash /Users/chrisren/Development/sevenrooms-bridge/scripts/golive.sh --enable
ADMISSIBLE	login	agreed	False	gh auth refresh -h github.com -s user
ADMISSIBLE	physical	agreed	False	open 'tel:8665823185'
ADMISSIBLE	decision	agreed	True	bash /tmp/mcp-ssot-render.sh
ADMISSIBLE	gui	agreed	False	open http://gn.localhost:3001/admin
INADMISSIBLE	self-runnable	agreed	True	bash /Users/chrisren/Development/claude-infrastructure/scripts/branch-prune-landed.sh
INADMISSIBLE	self-runnable	adjudicated	True	bash ~/Development/doc_classifier/.local/land-runplane.sh
ADMISSIBLE	login	agreed	False	/opt/homebrew/bin/python3 /tmp/discord-read-history.py 1407925100757385356 1407464420136980642 1404738898839736420
INADMISSIBLE	self-runnable	adjudicated	True	cd ~/Development/.worktrees/wave-w4-stranded && CLAUDE_CONFIG_DIR=$HOME/.claude-next /Users/chrisren/.claude-220/node_modules/.bin/claude --permission-mode auto --model claude-opus-5 --effort high --strict-mcp-config --mcp-config=... "$(cat ~/.claude/w4-successor-brief.md)"
INADMISSIBLE	self-runnable	agreed	True	bash /Users/chrisren/Development/sevenrooms-bridge/scripts/golive.sh
INADMISSIBLE	self-runnable	adjudicated	True	cc-decide action f04e01ecfb51 --evidence approved
ADMISSIBLE	gui	agreed	False	Turso console → ashburn-group → settings → enable delete protection (then los-angeles-group)
INADMISSIBLE	self-runnable	agreed	True	cd ~/Development/.worktrees/wt-lr-kitty-fire-verify && bash scripts/ship-land.sh
INADMISSIBLE	permission-gated	agreed	True	launchctl unsetenv CC_REAPER_GARBAGE
ADMISSIBLE	gui	agreed	False	open http://studio60.localhost:3000/api/dev-login?next=/floor-plan http://key.localhost:3000/api/dev-login?next=/floor-plan
ADMISSIBLE	tty	adjudicated	True	cd /Users/chrisren/Development/.worktrees/drain/recycle-11 && claude3 "$(cat ~/.claude/autonomy/fire-drain-recycle215.txt)"
ADMISSIBLE	decision	agreed	False	cd /Users/chrisren/Development/.worktrees/wt-pool-7 && pnpm tsx scripts/bottle-gen-production.ts --slug=caymus-cabernet --all-refs --runs=2 --prompt="Caymus Vineyards Napa Valley Cabernet Sauvignon wine bottle"
INADMISSIBLE	self-runnable	agreed	True	cd ~/Development/claude-infrastructure && git diff hooks/session-start.sh
INADMISSIBLE	self-runnable	agreed	True	cd ~/Development/reso-web-app && git push origin main
ADMISSIBLE	gui	agreed	False	gh pr view 1 --repo renchris/sevenrooms-bridge --web
ADMISSIBLE	gui	agreed	False	open -a "Microsoft Outlook"
INADMISSIBLE	self-runnable	agreed	False	claude -p "/compact-memory"
INADMISSIBLE	self-runnable	agreed	True	git log --oneline -5
ADMISSIBLE	decision	single	True	cc-teardown 27 --done-evidence '...' --force-adopted
ADMISSIBLE	gui	agreed	False	open "http://key.localhost:3007/api/dev-login?next=/floor-plan"
INADMISSIBLE	self-runnable	agreed	True	bash /Users/chrisren/Development/claude-infrastructure/scripts/wrap-ledger.sh
INADMISSIBLE	readable	agreed	False	cursor /Users/chrisren/Development/sevenrooms-bridge/docs/CSM_PRE_DISCLOSURE_DRAFT.md
ADMISSIBLE	decision	single	False	cd ~/Development/sevenrooms-bridge && node scripts/guestlist-delete.mjs --venue twelvewest --date 2026-08-28 --id "..." --expect-name-absent --expect-email "local-verify@example.com" --fire --yes
ADMISSIBLE	login	agreed	False	open -a "Google Chrome" https://secure.chase.com
INADMISSIBLE	permission-gated	adjudicated	True	CONFIRM=1 bash /Users/chrisren/Development/claude-infrastructure/docs/activation/pending-activation/14-land-pipeline-v2-activate.sh
INADMISSIBLE	self-runnable	agreed	False	pnpm dev
ADMISSIBLE	decision	agreed	True	cc-do 042b5a4dede3
INADMISSIBLE	self-runnable	agreed	True	claude-accounts --fresh --readout
ADMISSIBLE	decision	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-pool-2 && scripts/deploy-release.sh
ADMISSIBLE	decision	agreed	True	git -C $HOME/Development/claude-infrastructure reset --hard origin/main
ADMISSIBLE	decision	agreed	True	bash scripts/deploy-release.sh
ADMISSIBLE	tui	agreed	False	cd /Users/chrisren/Development/.worktrees/wt-3dd6dcf66e37 && /ship
ADMISSIBLE	gui	agreed	False	open "https://heist.reso.gl/floor-plan"
ADMISSIBLE	gui	agreed	False	open "https://wa.me/18329516136"
ADMISSIBLE	decision	agreed	False	! aws amplify start-job --app-id d2wzxfgylxxfth --branch-name main --job-type RELEASE
INADMISSIBLE	permission-gated	adjudicated	True	CONFIRM=1 bash /tmp/escalation-watch-activate.sh
INADMISSIBLE	permission-gated	agreed	True	CC_DO_ASSUME_YES=1 cc-do eac72456751a
ADMISSIBLE	decision	agreed	False	cd /Users/chrisren/Development/.worktrees/wt-pool-7 && pnpm tsx scripts/bottle-gen-production.ts --slug=chivas-18 --all-refs --runs=2 --prompt="Chivas Regal 18 Year Old Gold Signature blended Scotch whisky bottle"
INADMISSIBLE	permission-gated	single	True	curl -s "https://mercedesbenzhpc.com/wp-json/wp/v2/charging-station?slug=tx-austin-the-domain" | python3 -c "..."
ADMISSIBLE	gui	agreed	False	"/Applications/Google Chrome.app/Contents/MacOS/Google Chrome" --incognito "https://key.reso.gl/floor-plan"
ADMISSIBLE	decision	agreed	True	cc-do 41ea54369003
INADMISSIBLE	permission-gated	agreed	True	bash /Users/chrisren/Development/sevenrooms-bridge/scripts/alarms.sh
ADMISSIBLE	login	agreed	False	npx @softeria/ms-365-mcp-server --login
INADMISSIBLE	permission-gated	single	True	for db in academy apt101 envy gm harbour harbourtwo insomniacdenver key muin studio60 sunset time; do turso db config delete-protection enable "$db-database" ...; done
ADMISSIBLE	physical	agreed	False	open tel:+16037900857
INADMISSIBLE	permission-gated	agreed	True	cd /Users/chrisren/Development/.worktrees/wt-pool-2 && set -a && . ./.env.local && set +a && bash scripts/deploy-venue.sh --subdomain key --group oregon-group --venue heist --input data/heist-floor-plan.json --venue-svg data/heist-venue-svg.json --dry-run
UNKNOWN	unreadable	agreed	False	bash /tmp/reso-cursor-gate-flip.sh
INADMISSIBLE	self-runnable	agreed	False	cd ~/Development/claude-infrastructure && CC_RECYCLE_SUBAGENT_GATE=off bash scripts/handoff-fire.sh --recycle --prompt-file /tmp/fire-recycle-83.txt
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/claude-infrastructure && git fetch origin main && git status --short && git rebase origin/main
INADMISSIBLE	self-runnable	agreed	True	cc-relogin next
UNKNOWN	unreadable	agreed	False	bash /tmp/sevenrooms-to-live.sh
INADMISSIBLE	self-runnable	agreed	True	cc-mission next
ADMISSIBLE	gui	agreed	False	open /Users/chrisren/Development/.worktrees/wt-pool-5/scripts/venue-research/dossier/insomniac-dossier.standalone.html
INADMISSIBLE	permission-gated	agreed	True	for db in parent-schema-database-lax parent-schema-database-singapore parent-schema-database-ashburn parent-schema-database-dallas; do turso db config delete-protection enable "$db" && turso db config delete-protection show "$db"; done
ADMISSIBLE	login	agreed	False	export DISCORD_TOKEN='<your real token>' && /opt/homebrew/bin/python3 /tmp/discord-read-history.py list
ADMISSIBLE	gui	agreed	False	open http://localhost:3010/preview/floor-plan-viewer-composite
INADMISSIBLE	permission-gated	agreed	True	bash /tmp/live-layer-repair.sh
INADMISSIBLE	permission-gated	adjudicated	True	bash ~/Development/claude-infrastructure/migrations/0015-memory-index-drain-registration.sh
ADMISSIBLE	gui	agreed	False	open "https://www.ihg.com/holidayinnexpress/hotels/us/en/santa-ana/jwaex/hoteldetail"
INADMISSIBLE	self-runnable	agreed	True	git -C /Users/chrisren/Development/reso-web-app push origin main
INADMISSIBLE	readable	agreed	False	cursor /Users/chrisren/Development/personal/roommate-settlement/STATEMENTS.md
ADMISSIBLE	gui	adjudicated	True	open /tmp/jiahao-receipts
INADMISSIBLE	self-runnable	agreed	True	bash ~/.claude/bin/cc-memory-rotate --dry-run ~/.claude/projects/-Users-chrisren-Development-claude-infrastructure/memory/MEMORY.md
INADMISSIBLE	self-runnable	adjudicated	True	npm i --prefix ~/.claude-260 @anthropic-ai/claude-code@2.1.260 && sed -i '' 's#\.claude-220/node_modules/\.bin/claude#.claude-260/node_modules/.bin/claude#' ~/.zshrc
INADMISSIBLE	self-runnable	agreed	True	git show 88af9bfe1
INADMISSIBLE	self-runnable	agreed	True	cd /Users/chrisren/Development/.worktrees/ladder-default && bash scripts/ship-land.sh
ADMISSIBLE	decision	single	True	cc-teardown 27 --done-evidence 'old self-cloning drain chain retired 2026-09-04; replaced by lane infra (scripts/drain-brief.sh)' --force-adopted
ADMISSIBLE	decision	single	True	cd ~/Development/sevenrooms-bridge && node scripts/guestlist-delete.mjs --venue twelvewest --date 2026-08-28 --id "ahNzfnNldmVucm9vbXMtc2VjdXJlcigLEhtuaWdodGxvb3BfUmVzZXJ2YXRpb25BY3R1YWwYgICHoenZjgkM" --expect-name-absent --expect-email "local-verify@example.com" --fire --yes
INADMISSIBLE	self-runnable	single	True	curl -s "https://mercedesbenzhpc.com/wp-json/wp/v2/charging-station?slug=tx-austin-the-domain" | python3 -c "import sys,json; d=json.load(sys.stdin); print('MB HPC Domain: \$'+str(d[0]['acf']['current_price'])+'/kWh')"
INADMISSIBLE	permission-gated	single	True	for db in academy apt101 envy gm harbour harbourtwo insomniacdenver key muin studio60 sunset time; do turso db config delete-protection enable "$db-database" >/dev/null && turso db config delete-protection show "$db-database" | sed "s|^|$db: |"; done
INADMISSIBLE	self-runnable	agreed	True	cc-blockers
INADMISSIBLE	self-runnable	agreed	True	cc-do --list
ADMISSIBLE	decision	agreed	True	aws amplify start-job --app-id d2wzxfgylxxfth --branch-name main --job-type RELEASE
ADMISSIBLE	tui	agreed	False	/ship
INADMISSIBLE	readable	agreed	True	cursor docs/OWNER_BRIEF.md
ADMISSIBLE	gui	agreed	False	open https://claude.ai/code/session_01M676dQtsFjboT9vTPFL3Mt https://claude.ai/code/session_01GUAovenpXS573LjMQEapZJ
ADMISSIBLE	decision	adjudicated	True	bash /tmp/sr-recover-weekend.sh
INADMISSIBLE	self-runnable	agreed	True	bash ~/Development/claude-infrastructure/scripts/deploy-live.sh
ADMISSIBLE	gui	agreed	False	open https://key.reso.gl/floor-plan
INADMISSIBLE	self-runnable	adjudicated	True	bash /tmp/lr-resume-2de07510-fixed.sh
UNKNOWN	unreadable	agreed	False	bash /tmp/studio60-seed-golden-floorplan.sh
INADMISSIBLE	self-runnable	agreed	True	cd ~/Development/claude-infrastructure && git fetch origin main && git merge --ff-only origin/main && bash scripts/deploy-live.sh
INADMISSIBLE	self-runnable	agreed	False	for t in 1bd8904c 3c4bdc06 609597db 9e3074fc; do tmux kill-session -t lr-resume-$t; done; kitten @ close-window --match id:616
ADMISSIBLE	decision	agreed	True	git -C ~/Development/claude-infrastructure reset --keep origin/main
ADMISSIBLE	physical	adjudicated	True	bash /tmp/voiceink-notch-probe.sh
ADMISSIBLE	decision	agreed	False	bash /tmp/reso-destroy-retired-tenants.sh
INADMISSIBLE	scheduler-owned	agreed	True	bash scripts/postland-verify.sh --run-if-needed
ADMISSIBLE	decision	adjudicated	True	bash /tmp/reso-fix-ssr-credentials.sh
ADMISSIBLE	decision	agreed	False	pnpm invite:admin --subdomain insomniacdenver --email <platform address> --execute
INADMISSIBLE	self-runnable	agreed	True	curl -fsSL -o /tmp/mac-bootstrap.sh https://raw.githubusercontent.com/renchris/mac-bootstrap/4918eee97f42684ad0565d4b5d4ae01bf79c2693/bootstrap.sh && bash /tmp/mac-bootstrap.sh --profile lite --except m5_panes
ADMISSIBLE	decision	agreed	False	bash /tmp/reso-destroy-sunset.sh
INADMISSIBLE	permission-gated	adjudicated	True	bash /tmp/sevenrooms-fire-build-session.sh
INADMISSIBLE	self-runnable	agreed	False	git show 2c882c549
ADMISSIBLE	gui	agreed	False	open ~/Screenshots/"Screen Recording 2026-08-15 at 10.40.36 PM.mov"
ADMISSIBLE	login	adjudicated	True	bash /tmp/mistral-ocr-setup.sh
ADMISSIBLE	decision	agreed	True	bash /tmp/reso-operator-apex-and-vitals.sh --apply-purge
ADMISSIBLE	decision	agreed	True	bash /tmp/live-layer-unpin.sh
INADMISSIBLE	self-runnable	agreed	False	( crontab -l 2>/dev/null | grep -v mb-hpc-price-watch; echo "15 9 * * * $HOME/Development/personal/bin/mb-hpc-price-watch" ) | crontab -
INADMISSIBLE	permission-gated	agreed	False	gh variable set AWS_LIVENESS_ROLE_ARN --body "<role-arn>" --repo renchris/reso-web-app
INADMISSIBLE	permission-gated	agreed	False	curl -sS -o /dev/null -X POST -H 'Content-Type: application/json' -d '{"sessionId":"verify","pathname":"/","platform":"other","metrics":[{"name":"TTFB","value":1,"rating":"good"}]}' https://www.reso.gl/api/vitals && sleep 5 && aws dynamodb scan --table-name reso-web-vitals --region us-west-2 --consistent-read --select COUNT --query 'Count' --output text
INADMISSIBLE	readable	agreed	False	cursor /Users/chrisren/Development/.worktrees/nonlimit-resume-fable/docs/plans/NONLIMIT_RESUME_LADDER.md
INADMISSIBLE	permission-gated	adjudicated	True	grep -hE '^TURSO_AUTH_TOKEN_(OREGON|ASHBURN)_GROUP=' /Users/chrisren/Development/reso-management-app/.env.local >> /Users/chrisren/Development/.worktrees/wt-pool-5/.env.local && echo COPIED
INADMISSIBLE	self-runnable	agreed	True	/tmp/cc-read-twitter https://x.com/ClaudeDevs/status/2097369738968195513 --images
ADMISSIBLE	tui	agreed	False	/resume-sessions
INADMISSIBLE	readable	agreed	False	cursor /private/tmp/claude-501/-Users-chrisren-Development-claude-infrastructure/2878d5d2-270d-4ccb-a718-4f79ad7f21e0/scratchpad/A6-commercial.md
INADMISSIBLE	self-runnable	agreed	False	kitten @ focus-window --match id:647
INADMISSIBLE	permission-gated	agreed	True	git -C /Users/chrisren/Development/doc_classifier push origin f5b10a6d:main
INADMISSIBLE	self-runnable	agreed	True	bash ~/Development/claude-infrastructure/bin/cc-resume-layout.sh --file ~/.claude/autonomy/resume-remaining-2026-08-25.tsv
ADMISSIBLE	login	agreed	True	cd ~/.claude/skills/outlook-cleanup && python3 pipeline.py auth
INADMISSIBLE	permission-gated	agreed	True	kitty @ send-text --match id:244 -- $'\r'
INADMISSIBLE	self-runnable	agreed	True	cc-decide show ff24ce1f7808
INADMISSIBLE	permission-gated	agreed	False	gh repo create kb --private --source=. --remote=origin --push
INADMISSIBLE	self-runnable	agreed	True	cc-backlog list --blocked
INADMISSIBLE	self-runnable	agreed	True	$HOME/.claude/scripts/handoff-fire.sh self-close --terminal
INADMISSIBLE	permission-gated	agreed	True	CC_REAPER_GARBAGE=0 launchctl kickstart -k gui/$(id -u)/com.chrisren.cc-reaper
INADMISSIBLE	self-runnable	agreed	False	it2 session focus 480
ADMISSIBLE	tty	agreed	True	~/Development/agent-secrets/bin/agent-secrets add CODA_API_TOKEN && ~/Development/agent-secrets/bin/agent-secrets backup
